event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC Fight Night: Font vs. Vera;Marlon Vera;"5' 8""";135 lbs.;"71""";Jun 25, 1987;Rob Font;"5' 8""";135 lbs.;"70""";Dec 02, 1992
UFC Fight Night: Font vs. Vera;Andrei Arlovski;"6' 3""";230 lbs.;"78""";Oct 25, 1988;Jake Collier;"6' 3""";240 lbs.;"77""";Feb 04, 1979
UFC Fight Night: Font vs. Vera;Joanderson Brito;"5' 11""";145 lbs.;"74""";Jun 25, 1990;Andre Fili;"5' 8""";145 lbs.;"72""";Feb 11, 1995
UFC Fight Night: Font vs. Vera;Grant Dawson;"5' 9""";155 lbs.;"68""";Sep 06, 1988;Jared Gordon;"5' 10""";155 lbs.;"72""";Feb 20, 1994
UFC Fight Night: Font vs. Vera;Darren Elkins;"5' 10""";145 lbs.;"68""";Dec 12, 1985;Tristan Connelly;"5' 10""";145 lbs.;"71""";May 16, 1984
UFC Fight Night: Font vs. Vera;Krzysztof Jotko;"6' 1""";185 lbs.;"77""";Dec 18, 1987;Gerald Meerschaert;"6' 1""";185 lbs.;"77""";Aug 19, 1989
UFC Fight Night: Font vs. Vera;Alexandr Romanov;"6' 4""";250 lbs.;"78""";Nov 16, 1989;Chase Sherman;"6' 2""";262 lbs.;"75""";Dec 11, 1990
UFC Fight Night: Font vs. Vera;Francisco Figueiredo;"5' 6""";125 lbs.;"70""";Jun 05, 1996;Daniel Da Silva;"5' 6""";125 lbs.;"68""";Oct 23, 1989
UFC Fight Night: Font vs. Vera;Gabe Green;"6' 1""";170 lbs.;"76""";Aug 14, 1992;Yohan Lainesse;"5' 10""";170 lbs.;"73""";May 02, 1993
UFC Fight Night: Font vs. Vera;Natan Levy;"5' 10""";155 lbs.;"70""";Apr 21, 1989;Mike Breeden;"5' 9""";155 lbs.;"71""";Sep 30, 1991
UFC Fight Night: Font vs. Vera;Shanna Young;"5' 6""";125 lbs.;"68""";Aug 19, 1988;Gina Mazany;"5' 7""";125 lbs.;"65""";Feb 20, 1991
UFC Fight Night: Hall vs. Silva;Uriah Hall;"6' 2""";185 lbs.;"77""";Apr 14, 1975;Anderson Silva;"6' 0""";185 lbs.;"79""";Jul 31, 1984
UFC Fight Night: Hall vs. Silva;Bryce Mitchell;"5' 11""";145 lbs.;"74""";Jun 25, 1990;Andre Fili;"5' 10""";145 lbs.;"70""";Oct 04, 1994
UFC Fight Night: Smith vs. Clark;Anthony Smith;"6' 0""";205 lbs.;"75""";Apr 12, 1990;Devin Clark;"6' 4""";205 lbs.;"76""";Jul 26, 1988
UFC Fight Night: Smith vs. Clark;Miguel Baeza;"5' 10""";170 lbs.;"73""";Jun 09, 1990;Takashi Sato;"6' 2""";170 lbs.;"74""";Aug 23, 1992
UFC Fight Night: Smith vs. Clark;Parker Porter;"6' 4""";265 lbs.;"79""";Jun 28, 1989;Josh Parisian;"6' 0""";265 lbs.;"75""";Apr 22, 1985
UFC Fight Night: Smith vs. Clark;Bill Algeo;"5' 8""";145 lbs.;"71""";May 06, 1993;Spike Carlyle;"6' 0""";145 lbs.;"73""";Jun 09, 1989
UFC Fight Night: Smith vs. Clark;Norma Dumont;"5' 8""";135 lbs.;"67""";Jul 09, 1987;Ashlee Evans-Smith;"5' 7""";145 lbs.;"67""";Oct 01, 1990
UFC Fight Night: Hall vs. Silva;Greg Hardy;"6' 7""";258 lbs.;"80""";Jul 05, 1986;Maurice Greene;"6' 5""";265 lbs.;"80""";Jul 28, 1988
UFC Fight Night: Hall vs. Silva;Kevin Holland;"6' 2""";185 lbs.;"78""";Jul 04, 1991;Charlie Ontiveros;"6' 3""";185 lbs.;"81""";Nov 05, 1992
UFC Fight Night: Hall vs. Silva;Thiago Moises;"5' 10""";155 lbs.;"71""";Sep 09, 1986;Bobby Green;"5' 9""";155 lbs.;"70""";Mar 23, 1995
UFC Fight Night: Smith vs. Clark;Jonathan Pearce;"5' 7""";145 lbs.;"69""";Jan 05, 1995;Kai Kamaka;"6' 0""";145 lbs.;"71""";May 01, 1992
UFC Fight Night: Smith vs. Clark;Anderson Dos Santos;"5' 10""";145 lbs.;"73""";Nov 10, 1988;Martin Day;"5' 5""";135 lbs.;"70""";Jul 24, 1985
UFC Fight Night: Smith vs. Clark;Gina Mazany;"5' 3""";125 lbs.;"62""";Feb 25, 1991;Rachael Ostovich;"5' 6""";125 lbs.;"68""";Aug 19, 1988
UFC Fight Night: Smith vs. Clark;Sumudaerji;"5' 7""";125 lbs.;"71""";May 19, 1990;Malcolm Gordon;"5' 8""";125 lbs.;"72""";Jan 20, 1996
UFC Fight Night: Smith vs. Clark;Nate Maness;"5' 6""";135 lbs.;"67""";Dec 12, 1985;Luke Sanders;"5' 10""";135 lbs.;"72""";Jun 27, 1991
UFC Fight Night: Hall vs. Silva;Alexander Hernandez;"5' 8""";155 lbs.;"68""";Jun 16, 1986;Chris Gruetzemacher;"5' 9""";155 lbs.;"72""";Oct 01, 1992
UFC Fight Night: Hall vs. Silva;Adrian Yanez;"5' 5""";125 lbs.;"67""";Sep 05, 1992;Victor Rodriguez;"5' 7""";135 lbs.;"70""";Nov 29, 1993
UFC Fight Night: Hall vs. Silva;Sean Strickland;"6' 0""";185 lbs.;"73""";Dec 19, 1989;Jack Marshman;"6' 1""";185 lbs.;"76""";Feb 27, 1991
UFC Fight Night: Hall vs. Silva;Jason Witt;"6' 0""";170 lbs.;"73""";Dec 15, 1983;Cole Williams;"5' 10""";170 lbs.;"70""";Nov 07, 1986
UFC Fight Night: Hall vs. Silva;Dustin Jacoby;"6' 4""";205 lbs.;"80""";Sep 28, 1988;Justin Ledet;"6' 3""";205 lbs.;"76""";Apr 04, 1988
UFC Fight Night: Hall vs. Silva;Miles Johns;"5' 6""";145 lbs.;"70""";Apr 02, 1993;Kevin Natividad;"5' 7""";135 lbs.;"66""";Mar 30, 1994
UFC Fight Night: Thompson vs. Neal;Stephen Thompson;"5' 11""";170 lbs.;"75""";Aug 28, 1990;Geoff Neal;"6' 0""";170 lbs.;"75""";Feb 11, 1983
UFC Fight Night: Thompson vs. Neal;Jose Aldo;"5' 8""";135 lbs.;"70""";Dec 02, 1992;Marlon Vera;"5' 7""";135 lbs.;"70""";Sep 09, 1986
UFC Fight Night: Thompson vs. Neal;Michel Pereira;"6' 0""";170 lbs.;"77""";Mar 30, 1994;Khaos Williams;"6' 1""";170 lbs.;"73""";Oct 06, 1993
UFC Fight Night: Thompson vs. Neal;Rob Font;"5' 6""";135 lbs.;"67""";Apr 26, 1988;Marlon Moraes;"5' 8""";135 lbs.;"71""";Jun 25, 1987
UFC Fight Night: Thompson vs. Neal;Marcin Tybura;"6' 5""";265 lbs.;"80""";Jul 28, 1988;Greg Hardy;"6' 3""";249 lbs.;"78""";Nov 09, 1985
UFC Fight Night: Thompson vs. Neal;Anthony Pettis;"5' 11""";170 lbs.;"72""";Aug 16, 1990;Alex Morono;"5' 10""";155 lbs.;"72""";Jan 27, 1987
UFC Fight Night: Thompson vs. Neal;Pannie Kianzad;"5' 4""";125 lbs.;"67""";Apr 27, 1985;Sijara Eubanks;"5' 7""";135 lbs.;"66""";Dec 08, 1991
UFC Fight Night: Thompson vs. Neal;Deron Winn;"6' 3""";185 lbs.;"73""";Jul 01, 1989;Antonio Arroyo;"5' 6""";185 lbs.;"70""";Jun 13, 1989
UFC Fight Night: Thompson vs. Neal;Taila Santos;"5' 5""";125 lbs.;"63""";May 17, 1995;Gillian Robertson;"5' 6""";125 lbs.;"68""";Jun 22, 1993
UFC Fight Night: Thompson vs. Neal;Tafon Nchukwi;"6' 2""";185 lbs.;"80""";Aug 29, 1988;Jamie Pickett;"6' 0""";205 lbs.;"77""";Oct 14, 1994
UFC Fight Night: Thompson vs. Neal;Jimmy Flick;"5' 7""";125 lbs.;"67""";Mar 29, 1991;Cody Durden;"5' 7""";125 lbs.;"68""";Sep 07, 1990
UFC Fight Night: Thompson vs. Neal;Christos Giagos;"5' 10""";170 lbs.;"75""";Apr 26, 1993;Carlton Minus;"5' 10""";155 lbs.;"71""";Jan 23, 1990
UFC Fight Night: Felder vs. Dos Anjos;Rafael Dos Anjos;"5' 11""";155 lbs.;"70""";Apr 25, 1984;Paul Felder;"5' 8""";155 lbs.;"70""";Oct 26, 1984
UFC Fight Night: Felder vs. Dos Anjos;Khaos Williams;"5' 10""";185 lbs.;"73""";Aug 11, 1985;Abdul Razak Alhassan;"6' 0""";170 lbs.;"77""";Mar 30, 1994
UFC Fight Night: Felder vs. Dos Anjos;Ashley Yoder;"5' 7""";125 lbs.;"68""";Apr 13, 1992;Miranda Granger;"5' 7""";115 lbs.;"69""";Oct 20, 1987
