win;winner;loser;diff_h;diff_w;diff_r;diff_byear
1;Marlon Vera;Rob Font;0.0;0;1;-5.440221222886165
1;Andrei Arlovski;Jake Collier;0.0;-10;1;9.722307781816191
1;Joanderson Brito;Andre Fili;3.0;0;2;-4.632538655824555
1;Grant Dawson;Jared Gordon;-1.0;0;-4;-5.456648664928096
1;Darren Elkins;Tristan Connelly;0.0;0;-3;1.574296529018392
1;Krzysztof Jotko;Gerald Meerschaert;0.0;0;0;-1.6701232742629897
1;Alexandr Romanov;Chase Sherman;2.0;-12;3;-1.067783732725518
1;Francisco Figueiredo;Daniel Da Silva;0.0;0;2;6.617521235891223
1;Gabe Green;Yohan Lainesse;3.0;0;3;-0.7145937288240005
1;Natan Levy;Mike Breeden;1.0;0;-1;-2.442213050233749
1;Shanna Young;Gina Mazany;-1.0;0;3;-2.5051849113944846
1;Uriah Hall;Anderson Silva;2.0;0;-2;-9.297932195732972
1;Bryce Mitchell;Andre Fili;1.0;0;4;-4.276610744916049
1;Anthony Smith;Devin Clark;-4.0;0;-1;1.7111918793678174
1;Miguel Baeza;Takashi Sato;-4.0;0;-1;-2.2067530476327373
1;Parker Porter;Josh Parisian;4.0;0;4;4.18352190667844
1;Bill Algeo;Spike Carlyle;-4.0;0;-2;3.9069932989726004
1;Norma Dumont;Ashlee Evans-Smith;1.0;-10;0;-3.230730268246439
1;Greg Hardy;Maurice Greene;2.0;-7;0;-2.0643818832693346
1;Kevin Holland;Charlie Ontiveros;-1.0;0;-3;-1.3415744334243687
1;Thiago Moises;Bobby Green;1.0;0;1;-8.534056140783179
1;Jonathan Pearce;Kai Kamaka;-5.0;0;-2;2.680410959841749
1;Anderson Dos Santos;Martin Day;5.0;10;3;3.2991779434211517
1;Gina Mazany;Rachael Ostovich;-3.0;0;-6;2.518874446429427
1;Sumudaerji;Malcolm Gordon;-1.0;0;-1;-5.672943318480188
1;Nate Maness;Luke Sanders;-4.0;0;-5;-5.538785875137751
1;Alexander Hernandez;Chris Gruetzemacher;-1.0;0;-4;-6.294448209066579
1;Adrian Yanez;Victor Rodriguez;-2.0;-10;-3;-1.2320581531448285
1;Sean Strickland;Jack Marshman;-1.0;0;-3;-1.1909895480400008
1;Jason Witt;Cole Williams;2.0;0;3;-2.896705613393841
1;Dustin Jacoby;Justin Ledet;1.0;0;4;0.48460954023696584
1;Miles Johns;Kevin Natividad;-1.0;10;4;-0.9911223365298397
1;Stephen Thompson;Geoff Neal;-1.0;0;0;7.542933804253338
1;Jose Aldo;Marlon Vera;1.0;0;0;6.2314763479058435
1;Michel Pereira;Khaos Williams;-1.0;0;4;0.47913372622298883
1;Rob Font;Marlon Moraes;-2.0;0;-4;0.8377995441384833
1;Marcin Tybura;Greg Hardy;2.0;16;2;2.7160037509325994
1;Anthony Pettis;Alex Morono;1.0;15;0;3.5510653880640946
1;Pannie Kianzad;Sijara Eubanks;-3.0;-10;1;-6.614783328884235
1;Deron Winn;Antonio Arroyo;9.0;0;3;0.049282326125793134
1;Taila Santos;Gillian Robertson;-1.0;0;-5;1.9001074628500243
1;Tafon Nchukwi;Jamie Pickett;2.0;-20;3;-6.124697974633292
1;Jimmy Flick;Cody Durden;0.0;0;-1;0.555795122418667
1;Christos Giagos;Carlton Minus;0.0;15;4;3.2553714313093356
1;Rafael Dos Anjos;Paul Felder;3.0;0;0;-0.5037748892858854
1;Khaos Williams;Abdul Razak Alhassan;-2.0;15;-4;-8.632620793034764
1;Ashley Yoder;Miranda Granger;0.0;10;-1;4.481953770440187
1;Sean Strickland;Brendan Allen;1.0;0;-1;4.832405867334716
1;Cory McKenna;Kay Hansen;-1.0;0;5;0.09308883823760926
1;Kanako Murata;Randa Markos;3.0;0;1;-8.000164274420419
1;Tony Gravely;Geraldo de Freitas;2.0;0;3;0.005475814013977016
1;Alex Morono;Rhys McKee;3.0;0;6;5.067865869935727
1;Don'Tale Mayes;Roque Martinez;-8.0;-10;-9;-5.87007262298336
1;Glover Teixeira;Thiago Santos;0.0;0;0;4.194473534706393
1;Andrei Arlovski;Tanner Boser;-1.0;15;-2;12.490331765881573
1;Deiveson Figueiredo;Alex Perez;1.0;0;-3;4.257445395867129
1;Valentina Shevchenko;Jennifer Maia;-1.0;0;-2;0.5831741924885522
1;Raoni Barcelos;Khalid Taha;-2.0;0;2;4.794075169236877
1;Giga Chikadze;Jamey Simmons;-6.0;-10;-4;4.046626556329015
1;Yan Xiaonan;Claudia Gadelha;-1.0;0;0;-0.522940238334805
1;Trevin Giles;Bevon Lewis;3.0;0;5;-1.256699316207725
1;Alexandr Romanov;Marcos Rogerio de Lima;-1.0;-9;0;-5.462124478942073
1;Darren Elkins;Eduardo Garagorri;-1.0;0;-1;5.032273078844877
1;Max Griffin;Ramiz Brahimaj;-1.0;0;-4;6.967973332785752
1;Tim Means;Mike Perry;-4.0;0;-4;7.567574967316235
1;Katlyn Chookagian;Cynthia Calvillo;-5.0;0;-4;-1.462042341731863
1;Gustavo Lopez;Anthony Birchak;3.0;0;2;-3.1157381739529217
1;Paul Craig;Mauricio Rua;-2.0;0;0;-6.004230066325797
1;Brandon Moreno;Brandon Royval;2.0;0;-2;-1.3087195493405066
1;Joaquin Buckley;Jordan Wright;4.0;0;1;-2.5544672375202775
1;Antonina Shevchenko;Ariane Lipski;-2.0;0;0;9.182940101439454
1;Max Holloway;Calvin Kattar;0.0;0;3;-3.6906986454205084
1;Carlos Condit;Matt Brown;-2.0;0;0;-3.290964222400186
1;Li Jingliang;Santiago Ponzinibbio;0.0;0;2;-1.4812076907807827
1;Alessio Di Chirico;Joaquin Buckley;-2.0;0;2;4.372437490160647
1;Punahele Soriano;Dusko Todorovic;2.0;0;2;1.4866835047947597
1;Nicolas Dalby;Daniel Rodriguez;2.0;0;0;2.1218779304160935
1;Alan Jouban;Jared Gooden;0.0;0;4;12.027625481700515
1;Kyle Daukaus;Dustin Stoltzfus;-3.0;0;-1;-1.2868162932845986
1;Sasha Palatnikov;Louis Cosce;-4.0;0;-1;6.450508908464924
1;Joselyne Edwards;Wu Yanan;0.0;0;-4;0.5530572154116785
1;Carlos Felipe;Justin Tafa;0.0;19;-1;-1.0814732677604606
1;Ramazan Emeev;David Zawada;2.0;0;-1;3.1923995701486
1;Vanessa Melo;Sarah Moras;2.0;0;2;0.09308883823760926
1;Austin Lingo;Jacob Kilburn;-1.0;0;2;0.9664811734669432
1;Michael Chiesa;Neil Magny;2.0;0;5;-0.344976282880552
1;Warlley Alves;Mounir Lazzez;2.0;0;4;-3.1349035230018414
1;Ike Villanueva;Vinicius Moreira;3.0;0;3;4.9035914495164175
1;Viviane Araujo;Roxanne Modafferi;3.0;0;1;-4.158880743615543
1;Matt Schnell;Tyson Nam;-1.0;0;-2;-6.278020767024648
1;Lerone Murphy;Douglas Silva de Andrade;-2.0;-10;-5;-6.080891462521476
1;Omari Akhmedov;Tom Breese;3.0;0;0;3.9562756250983937
1;Ricky Simon;Gaetano Pirrello;1.0;0;-4;-0.3395004688665749
1;Sumudaerji;Zarrukh Adashev;-3.0;0;-7;-3.477141898875405
1;Dalcha Lungiambula;Markus Perez;5.0;0;-3;0.8952955912852419
1;Francisco Figueiredo;Jerome Rivera;4.0;0;4;5.4949793630259345
1;Mike Davis;Mason Jones;-2.0;0;2;2.5489914235063007
1;Umar Nurmagomedov;Sergey Morozov;-2.0;-10;-2;-6.71334798113582
1;Manon Fiorot;Victoria Leonardo;-2.0;0;-1;-0.002737907006988508
1;Marvin Vettori;Jack Hermansson;1.0;-20;3;-5.2786847094738425
1;Jamahal Hill;Ovince Saint Preux;-1.0;0;1;-8.112418461706948
